,0,1
199,2018-07-09,435571.75
200,2018-07-16,509872.84
201,2018-07-23,563786.4
202,2018-07-30,484473.62
203,2018-08-06,435538.5
204,2018-08-13,456010.44
205,2018-08-20,469239.9
206,2018-08-27,516363.12
207,2018-09-03,452275.72
208,2018-09-10,468389.72
209,2018-09-17,484771.47
210,2018-09-24,480446.78
211,2018-10-01,487890.38
212,2018-10-08,463555.2
213,2018-10-15,476291.94
214,2018-10-22,474382.12
215,2018-10-29,465075.88
216,2018-11-05,465104.4
217,2018-11-12,403685.62
218,2018-11-19,283291.34
219,2018-11-26,288839.28
220,2018-12-03,257966.05
221,2018-12-10,233947.03
222,2018-12-17,280490.44
223,2018-12-24,270273.88
224,2018-12-31,283471.1
225,2019-01-07,250053.16
226,2019-01-14,256536.73
227,2019-01-21,254412.17
228,2019-01-28,247550.08
229,2019-02-04,262592.28
230,2019-02-11,262057.98
231,2019-02-18,270696.56
232,2019-02-25,273149.53
233,2019-03-04,276603.1
234,2019-03-11,277592.16
235,2019-03-18,278215.7
236,2019-03-25,284829.88
237,2019-04-01,359609.38
238,2019-04-08,357455.6
239,2019-04-15,368668.47
240,2019-04-22,369177.3
241,2019-04-29,400935.0
242,2019-05-06,487595.44
243,2019-05-13,576237.44
244,2019-05-20,601674.6
245,2019-05-27,608332.1
246,2019-06-03,533207.94
247,2019-06-10,627632.25
248,2019-06-17,755315.6
249,2019-06-24,745848.3
250,2019-07-01,783815.94
251,2019-07-08,703131.25
252,2019-07-15,729640.9
253,2019-07-22,658001.06
254,2019-07-29,764259.25
255,2019-08-05,818692.7
256,2019-08-12,736040.94
257,2019-08-19,725019.56
258,2019-08-26,700041.94
259,2019-09-02,748427.8
260,2019-09-09,735016.25
261,2019-09-16,717018.56
262,2019-09-23,571408.5
263,2019-09-30,565767.3
264,2019-10-07,590159.0
265,2019-10-14,584096.4
266,2019-10-21,676643.44
267,2019-10-28,651296.7
268,2019-11-04,646299.1
269,2019-11-11,614565.8
270,2019-11-18,505996.16
271,2019-11-25,532704.6
272,2019-12-02,539284.25
273,2019-12-09,505572.75
274,2019-12-16,534074.44
275,2019-12-23,530212.1
276,2019-12-30,531863.2
277,2020-01-06,581358.3
278,2020-01-13,618567.4
279,2020-01-20,613184.9
280,2020-01-27,668112.75
281,2020-02-03,723501.9
282,2020-02-10,710589.75
283,2020-02-17,713421.3
284,2020-02-24,617995.1
285,2020-03-02,600030.75
286,2020-03-09,398630.22
287,2020-03-16,440398.62
288,2020-03-23,446500.72
289,2020-03-30,517755.7
290,2020-04-06,531033.3
291,2020-04-13,550494.25
292,2020-04-20,585831.8
293,2020-04-27,672054.7
294,2020-05-04,661405.2
295,2020-05-11,733332.25
296,2020-05-18,668024.06
297,2020-05-25,714529.44
298,2020-06-01,736968.5
299,2020-06-08,712992.7
300,2020-06-15,709423.6
301,2020-06-22,691438.2
302,2020-06-29,677638.0
303,2020-07-06,697210.0
304,2020-07-13,687995.06
305,2020-07-20,740510.9
306,2020-07-27,828115.3
307,2020-08-03,875972.8
308,2020-08-10,890807.2
309,2020-08-17,873954.3
310,2020-08-24,856445.44
311,2020-08-31,753452.6
312,2020-09-07,758577.7
313,2020-09-14,804346.4
314,2020-09-21,794132.5
315,2020-09-28,782322.06
316,2020-10-05,831216.7
317,2020-10-12,843384.5
318,2020-10-19,962171.2
319,2020-10-26,1025276.06
320,2020-11-02,1145147.4
321,2020-11-09,1189296.0
322,2020-11-16,1362157.4
323,2020-11-23,1344213.6
324,2020-11-30,1427727.5
325,2020-12-07,1411568.6
326,2020-12-14,1727846.0
327,2020-12-21,1936930.8
328,2020-12-28,2395940.2
329,2021-01-04,2813688.5
330,2021-01-11,2617995.8
331,2021-01-18,2356991.0
332,2021-01-25,2414384.5
333,2021-02-01,2831977.8
334,2021-02-08,3536634.0
335,2021-02-15,4175234.2
336,2021-02-22,3326373.5
337,2021-03-01,3747472.0
338,2021-03-08,4310706.5
339,2021-03-15,4165414.8
340,2021-03-22,4053488.8
341,2021-03-29,4311483.0
342,2021-04-05,4499101.5
343,2021-04-12,4191673.0
344,2021-04-19,3668868.0
345,2021-04-26,4196083.0
346,2021-05-03,4267878.5
347,2021-05-10,3404260.8
348,2021-05-17,2535125.0
349,2021-05-24,2582873.8
350,2021-05-31,2614724.0
351,2021-06-07,2863208.8
352,2021-06-14,2646819.5
353,2021-06-21,2571713.5
354,2021-06-28,2628306.0
355,2021-07-05,2550786.0
356,2021-07-12,2371928.8
357,2021-07-19,2631791.5
358,2021-07-26,2973306.5
359,2021-08-02,3262594.0
360,2021-08-09,3491689.5
361,2021-08-16,3664685.0
362,2021-08-23,3588839.0
363,2021-08-30,3777727.5
364,2021-09-06,3386781.2
365,2021-09-13,3482905.2
366,2021-09-20,3189358.0
367,2021-09-27,3574140.2
368,2021-10-04,4124631.5
369,2021-10-11,4616900.0
370,2021-10-18,4569445.0
371,2021-10-25,4594486.5
372,2021-11-01,4698392.5
373,2021-11-08,4867364.0
374,2021-11-15,4364864.0
375,2021-11-22,4296522.0
376,2021-11-29,3714842.8
377,2021-12-06,3793918.8
378,2021-12-13,3550821.0
379,2021-12-20,3830783.2
380,2021-12-27,3527718.0
381,2022-01-03,3112181.8
382,2022-01-10,3202534.5
383,2022-01-17,2699641.2
384,2022-01-24,2845582.5
385,2022-01-31,3165757.5
386,2022-02-07,3184215.8
387,2022-02-14,2870256.2
388,2022-02-21,2830794.5
389,2022-02-28,2936117.0
390,2022-03-07,3009494.0
391,2022-03-11,2971693.5
