,0,1
199,2021-08-30,212.4749
200,2021-09-06,189.8203
201,2021-09-13,168.19708
202,2021-09-20,163.01595
203,2021-09-27,167.05585
204,2021-10-04,165.46349
205,2021-10-11,161.78546
206,2021-10-18,159.24481
207,2021-10-25,147.2348
208,2021-11-01,150.0079
209,2021-11-08,151.73442
210,2021-11-15,136.73166
211,2021-11-22,119.54445
212,2021-11-29,103.69783
213,2021-12-06,102.028885
214,2021-12-13,94.62323
215,2021-12-20,109.7785
216,2021-12-27,102.64449
217,2022-01-03,87.166
218,2022-01-10,104.531746
219,2022-01-17,83.52445
220,2022-01-24,77.85871
221,2022-01-31,85.43152
222,2022-02-07,78.91732
223,2022-02-14,69.67398
224,2022-02-21,64.43339
225,2022-02-28,62.952427
226,2022-03-07,61.53039
227,2022-03-11,60.45571
